Country Name	10 year GDP Average	Average Arable Land %(10 yrs)	Average rural population (10 yrs)	Land area(Sq Km)	Average % of Forest Cover (10 yrs)	"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)"	continent
Arab World	2.16E+12	4.266813215	154123166.7	13623921	3.164410804	6.820829026	Asia
Caribbean small states	61668919150	1.825327899	4004926.545	404850	85.29072047	4.17914177	North America
Central Europe and the Baltics	1.29E+12	34.03779539	39700319	1104182	33.67025969	3.727658171	Europe
Early-demographic dividend	8.08E+12	12.99743842	1679439876	33109107	22.30994954	10.85143381	#N/A
East Asia & Pacific	1.68E+13	9.501421611	1051723911	24387020.3	26.19094025	5.744054479	Asia
East Asia & Pacific (excluding high income)	8.20E+12	11.22536631	1026907125	15914380.8	29.54249258	10.58899352	Asia
East Asia & Pacific (IDA & IBRD countries)	8.18E+12	11.16115227	1017167361	15793790.8	29.40822032	10.58899352	Asia
Euro area	1.26E+13	24.56496837	84399622.18	2678201	37.73791159	1.690624098	Europe
Europe & Central Asia	2.11E+13	12.31145215	266116658.7	27447511	37.87179905	2.266893094	Europe
Europe & Central Asia (excluding high income)	3.08E+12	10.5870345	141917435.1	22627977	38.77132937	6.692874893	Europe
Europe & Central Asia (IDA & IBRD countries)	3.60E+12	10.95888005	158641494.2	22990267	38.64923365	6.147342559	Europe
European Union	1.72E+13	25.71209277	132361039.6	4241144	37.51968796	1.662444478	Europe
Fragile and conflict affected situations	5.94E+11	6.035642675	263140313.3	14824168	22.89885863	21.61417077	#N/A
Heavily indebted poor countries (HIPC)	4.66E+11	7.915906576	425591303.2	19754791	28.80875763	28.11483025	#N/A
High income	4.54E+13	10.28892116	226778638.5	35088855.4	28.71542801	1.459014998	#N/A
IBRD only	1.94E+13	11.31554975	2132324490	67948473.8	33.55371882	8.688776906	#N/A
IDA & IBRD total	2.10E+13	10.9568401	3125938204	95724208.8	31.5378595	9.771623851	#N/A
IDA blend	8.31E+11	13.86072995	327366230.5	6824490	28.12068582	23.39815252	#N/A
IDA only	7.76E+11	8.84696585	666247483.5	20952200	26.11098084	27.29722864	#N/A
IDA total	1.61E+12	10.07926098	993613713.9	27776650	26.60495285	25.29702498	#N/A
Late-demographic dividend	1.37E+13	9.174977473	976588371.9	44535319.8	38.88060319	7.5172099	#N/A
Latin America & Caribbean	4.95E+12	8.227753876	128751303	20042207.4	46.90489971	5.386914538	South America
Latin America & Caribbean (excluding high income)	4.55E+12	8.457085969	124732957.4	19096113	48.20040396	5.518679766	South America
Latin America & the Caribbean (IDA & IBRD countries)	4.76E+12	8.105646172	125526503.8	19913632	47.00274963	5.471600145	South America
Least developed countries: UN classification	6.74E+11	8.272151845	602395843.3	20167053	27.61797487	28.0627087	#N/A
Low & middle income	2.03E+13	10.97469932	3119107780	94670126.8	31.66536746	10.01438703	#N/A
Low income	2.92E+11	8.993189868	397804907.5	13382221	28.16490982	32.55699253	#N/A
Lower middle income	4.29E+12	18.21341273	1716053318	21754614	24.97526889	17.70607788	#N/A
Middle East & North Africa	2.74E+12	4.713953204	144433489.9	11238740	2.041475085	6.152930726	Africa
Middle East & North Africa (excluding high income)	1.27E+12	5.700232951	136559222.4	8643800	2.485460498	9.200557077	Africa
Middle East & North Africa (IDA & IBRD countries)	1.26E+12	5.696462	135569970.7	8637780	2.486131224	9.225385452	Africa
Middle income	2.00E+13	11.3010051	2721302872	81288875.8	32.24173987	9.717228121	#N/A
North America	1.70E+13	11.09490198	65828180.73	18255480	35.91840426	1.236198241	North America
Not classified	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#N/A
OECD members	4.47E+13	11.52665525	261172420.1	34419488	31.20898913	1.623150176	#N/A
