Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Afghanistan,,11.71767301,11.79425911,11.8708452,11.9474313,11.9474313,12.00104157,12.01482707,12.01482707,12.03933462,12.05465184,12.1006035,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,,,11.98223543
Albania,,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,,,20.49729657
Algeria,,2.717341104,2.645124993,2.603138882,2.574588326,2.604398465,2.611955965,2.645544854,2.621192909,2.616994298,2.623292215,2.678713881,2.733295826,2.734135548,2.747571103,2.873949298,2.977654992,2.898721103,2.89368277,2.874369159,2.886545131,2.890743742,2.889064298,2.767724437,2.903339575,2.90124027,2.925172353,2.967998186,2.981433742,2.993189853,2.97303652,3.048191658,3.174989713,3.162813741,3.139301519,3.156935686,3.157775408,3.211937491,3.216555963,3.221594297,3.216975824,3.183806797,3.168691797,3.150511811,3.146019297,3.153576797,3.136362491,3.13594263,3.144339852,3.146019297,3.149798047,3.149798047,3.151687422,3.147362852,3.136109258,,,2.954856509
American Samoa,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7.5,10,10,12,12.5,12.5,12.5,12.5,16.7,16.5,16.5,16.5,15,14.8,15,15,15,15,15,15,,,8.305555556
Andorra,,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.255319149,4.680851064,4.893617021,4.893617021,5.106382979,5.319148936,5.319148936,5.319148936,5.319148936,5.106382979,4.893617021,4.680851064,4.893617021,5.319148936,5.531914894,5.106382979,6.170212766,5.957446809,,,3.41213554
Angola,,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,,,2.514044485
Antigua and Barbuda,,18.18181818,15.90909091,18.18181818,15.90909091,18.18181818,18.18181818,15.90909091,15.90909091,18.18181818,18.18181818,15.90909091,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,,,10.18518519
Arab World,,3.382112093,3.383726887,3.400462022,3.428280514,3.462337982,3.454117214,3.475256332,3.467402562,3.484798295,3.505276816,3.591521481,3.567666574,3.576044641,3.605478013,3.610249009,3.650031771,3.641737579,3.659206763,3.65105937,3.644306577,3.668352394,3.682719696,3.670784868,3.705842143,3.728041218,3.751602596,3.788170441,3.796758233,3.806285544,3.848299665,3.900648496,3.961533795,4.153475801,4.140484032,4.201846284,4.24709434,4.218135173,4.212241167,4.190542712,4.114427095,4.110632324,4.145071521,4.282862875,4.23445082,4.290261675,4.244334456,4.27566651,4.213425782,4.222265226,4.238926783,4.238362877,4.268118039,4.322688009,4.354082796,,,3.86795385
Argentina,,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,9.462891303,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.50052801,9.865932934,9.865932934,9.865932934,9.865932934,9.865932934,9.792851949,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,,,10.15387878
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,,,15.74136009
