10 year GDP Average,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2-Alpha Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Alternative conversion factor,Average % of Forest Cover (10 yrs),"Average Agriculture Contribution to GDP(% of GDP, 10 yrs)",Average Arable Land %(10 yrs),Average rural population (10 yrs),Average,Balance of Payments Manual in use,Country Code (Country),Country Code,Country Name (GDP),Country Name,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Income Group,Indicator Code,Indicator Name,Land area(Sq Km),Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Lending category,Long Name,National accounts base year,National accounts reference year,Number of Records,Other groups,PPP survey year,Region,SNA price valuation,Short Name,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code
2156309450505.29,,4215860,4215840,4218970,4220260,4223400,4224290,4231280,4235220,4242770,4251290,4277870,4284320,4283680,4290840,4287780,4297140,4299980,4305790,4307280,4318030,4276396,4279693.4,4286067.4,4342133.6,4409938,4489258,4564760,4645290,4716088,4772142,4784464,4806419.8,5344200,5363840,5377560,5388754.6,5388279.2,5393336.2,5395305,1A,5395402,5400131,5412411,5436802,5444076,5457617,5460207.5,5466390,5458208.8,5108978.6,5092143,4775628.9,4779423.4,4790097.7,4795282.6,,,,3.164410804,6.820829026,4.266813215,154123166.727273,4732011.38333333,,ARB,ARB,Arab World,Arab World,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),13623921,,,,,,,,Arab World,,,1,,,,,Arab World,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,Arab World,,1A
61668919150.1725,,22340,22370,22400,22420,22200,22340,22330,22350,22390,22320,22410,22390,22530,22549,22540,23360,24240,25150,25982,25975,25968,25800,25672,25725,25778,25842,25960,25990,26060,26149,26238,26297,26637,26585,26500,26454,26350,26235,26284,S3,25977,25902,25732,25780,25656.3,25167,25159.1,25099.9,24960,25135,25096,25096,25058,25178,25228,,,,85.290720469,4.179141770,1.825327899,4004926.54545455,24765.45,,CSS,CSS,Caribbean small states,Caribbean small states,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),404850,,,,,,,,Caribbean small states,,,1,,,,,Caribbean small states,,Caribbean small states aggregate.,,,Caribbean small states,,S3
1293345446837.62,,476790,476470,475850,476230,474830,475110,474340,475330,474350,473580,473070,471820,470470,470060,468950,471090,470540,469850,468720,467790,466380,466180,466080,466570,466420,466060,466390,465880,462170,461950,461720,560840,624860,621440,615910,610780,610260,605100,604520,B8,591050,575370,562642,553227,545347,545879,544532,533505,536185.6,536005.2,526624.6,528593.1,524572.9,527089.5,526400.9,,,,33.670259691,3.727658171,34.037795394,39700319,510773.588888889,,CEB,CEB,Central Europe and the Baltics,Central Europe and the Baltics,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),1104182,,,,,,,,Central Europe and the Baltics,,,1,,,,,Central Europe and the Baltics,,Central Europe and the Baltics aggregate.,,,Central Europe and the Baltics,,B8
8080702405258.25,,11599250,11595580,11579690,11569230,11563440,11563410,11560440,11563910,11562570,11568565,11573940,11615250,11635670,11642550,11644800,11650320,11669340,11686830,11716285,11714530,11679986,11716009.4,11727815.4,11825786.6,11924622,12004402,12128583,12191062,12275058,12367376,12376369,13062046.8,13344079,13345300,13373123,13413589.6,13439256.2,13470245.2,13505819,V2,13527198,13548615,13547755,13598673,13696936.8,13556122,13589952,13646464.8,13643009.4,13665282,13701852.9,13721039.6,13744494.5,13750741.1,13735318,,,,22.309949537,10.851433809,12.997438424,1679439876.45038,12520733.0055556,,EAR,EAR,Early-demographic dividend,Early-demographic dividend,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),33109107,,,,,,,,Early-demographic dividend,,,1,,,,,Early-demographic dividend,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,,,Early-demographic dividend,,V2
8179015036172.81,,5671438,5704311,5739245,5774763,5816848,5856895,5898739,5938430,5985622,6037293,6075991,6133766,6196261,6274989,6329068,6247258,6321768,6387354,6429612,6478911,6537474,6640048,6751117,6857322,7012074,7098182,7189461,7264343,7338286,7410231,7439469,7442757,7444366,7483552,7494706,7499452,7614296,7621778,7651647,T4,7660822,7646755,7636807,7485525,7519090,7517577,7496075,7523153,7543574,7567977,7577493,7589823,7600073,7609144,7606539,,,,29.408220317,10.588993518,11.161152275,1017167360.54545,6901287.96296296,,TEA,TEA,East Asia & Pacific (IDA & IBRD countries),East Asia & Pacific (IDA & IBRD countries),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),15793790.8,,,,,,,,East Asia & Pacific (IDA & IBRD),,,1,,,,,East Asia & Pacific (IDA & IBRD),,East Asia & Pacific (IDA & IBRD countries) aggregate.,,,East Asia & Pacific (IDA & IBRD),,T4
8195064115761.56,,5695265,5728138,5763072,5798590,5840674,5880721,5922565,5962256,6009448,6061119,6099817,6157592,6220587,6299315,6353394,6271584,6346094,6411680,6453938,6504087,6562650,6665224,6776293,6882498,7037250,7123358,7214637,7289519,7363462,7435437,7464795,7468085,7469894,7510080,7521237,7524988,7639832,7647321,7677190.9,4E,7686366,7672296,7662348,7511071.4,7544636,7543623,7522121,7549197,7570118,7594722,7604338,7616168,7626418,7635489,7632884,,,,29.542492580,10.588993518,11.225366309,1026907124.72727,6926397.82037037,,EAP,EAP,East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),15914380.8,,,,,,,,East Asia & Pacific (excluding high income),,,1,,,,,East Asia & Pacific (excluding high income),,East Asia and Pacific regional aggregate (does not include high-income economies).,,,East Asia & Pacific (excluding high income),,4E
16768587287009.6,,10573658,10628171,10690515,10752713,10834468,10885365,10952769,10973000,11058482,11138743,11190131,11262966,11350781,11436219,11483788,11414338,11395948,11442274,11522542,11597141,11658844,11708568,11749977,11873662,12024864,12090492,12182421,12268293,12288216,12332851,12345881,12378911,12320790,12440436,12391303,12412244,12496118,12518837,12447586.9,Z4,12479612,12462682,12332004,12102779.4,12142304,12189465.6,12061811.5,11994754,11932369,11875018,11778849.4,11900623.3,11867356.3,11786471.7,11880116,,,,26.190940246,5.744054479,9.501421611,1051723910.63636,11764824.5018518,,EAS,EAS,East Asia & Pacific,East Asia & Pacific,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),24387020.3,,,,,,,,East Asia & Pacific,,,1,,,,,East Asia & Pacific,,East Asia and Pacific regional aggregate (includes all income levels).,,,East Asia & Pacific,,Z4
12613170849814.3,,1353091,1351851,1349883,1343201,1338847,1334924,1333811,1325944,1326786,1312330,1292326,1287658,1282035,1278347,1274546,1266763,1265353,1265602,1262009,1258085,1256970,1255174,1245013,1242299,1240167,1237374,1235634,1227989,1228377,1223673,1191968,1264854,1286347,1282053,1265824,1267498,1261534,1261911,1259429,XC,1267817,1253422,1246102,1236571.3,1230862,1234589,1220838,1210813.2,1213860.2,1205779,1205649,1194626.7,1191541.2,1189135.4,1183134.1,,,,37.737911593,1.690624098,24.564968373,84399622.1818182,1261522.59444444,,EMU,EMU,Euro area,Euro area,,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),2678201,,,,,,,,Euro area,,,1,,,,,Euro area,,Euro area aggregate.,,,Euro area,,XC
3597254253471.83,,783450,785150,792040,791660,790630,793080,790640,794710,804250,798910,799660,803360,801450,796740,791670,793300,794630,794460,802300,798490,797660,783410,778650,788290,793450,796770,806660,804710,807400,805190,809060,6700992,6672966,6665720,6602786,6578598,6599415,6586119,6580987,T7,6579417,6563912,6539738,6515440,6502718,6488856,6514900,6492115,6477368,6469835,6512639,6509533,6504826,6528340.3,6536309.2,,,,38.649233648,6.147342559,10.958880050,158641494.181818,3248062.21296296,,TEC,TEC,Europe & Central Asia (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),22990267,,,,,,,,Europe & Central Asia (IDA & IBRD),,,1,,,,,Europe & Central Asia (IDA & IBRD),,Europe & Central Asia (IDA & IBRD countries) aggregate.,,,Europe & Central Asia (IDA & IBRD),,T7
3075439821710.56,,580230,582530,590200,590360,591170,593610,592450,596940,608680,603480,604580,609650,608190,604170,599430,601310,603040,603350,611820,608420,608560,594500,589860,598900,604310,607980,617970,616510,619330,617260,621530,6489522,6463096,6455530,6393246,6374508,6395435,6381209,6376317,7E,6383597,6374252,6358938,6341790,6327688,6317686,6343030,6325405,6308467,6300649,6354811,6348482,6346226,6368567.3,6376981.2,,,,38.771329373,6.692874893,10.587034500,141917435.090909,3058995.41666667,,ECA,ECA,Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),,,,,,AG.LND.AGRI.K2,Agricultural land (sq. km),22627977,,,,,,,,Europe & Central Asia (excluding high income),,,1,,,,,Europe & Central Asia (excluding high income),,Europe and Central Asia regional aggregate (does not include high-income economies).,,,Europe & Central Asia (excluding high income),,7E
