Country Name,Average % of Forest Cover (10 yrs)
Albania,28.3450564
American Samoa,88.55909091
Andorra,34.04255319
Angola,46.90783669
Antigua and Barbuda,22.27272727
Argentina,10.45968272
Armenia,11.64543219
Australia,16.25023519
Austria,46.75405111
Azerbaijan,12.19977185
"Bahamas, The",51.44855145
Bangladesh,11.07782131
Barbados,14.65116279
Belarus,42.06400475
Belgium,22.45346463
Belize,60.99972102
Benin,40.44874069
Bermuda,20
Bhutan,70.97334284
Bolivia,52.15872376
Bosnia and Herzegovina,42.67578125
Botswana,20.06791754
Brazil,59.74693804
British Virgin Islands,24.26666667
Brunei Darussalam,72.57202001
Bulgaria,34.41628139
Burkina Faso,20.64792663
Cabo Verde,21.33837131
Cambodia,57.183322
Cameroon,42.13153942
Canada,38.19352283
Cayman Islands,52.91666667
Central African Republic,35.7122219
Chile,22.31193326
China,21.3725208
Colombia,53.20053259
Comoros,21.10302379
"Congo, Dem. Rep.",67.98923711
"Congo, Rep.",65.61160655
Costa Rica,51.21603817
Cote d'Ivoire,32.71383648
Croatia,34.23711742
Cuba,27.8028683
Cyprus,18.70188902
Czech Republic,34.40010204
Denmark,13.83102622
Dominica,59.54666667
Dominican Republic,37.61690597
Ecuador,52.10805429
El Salvador,13.85135135
Equatorial Guinea,57.97763734
Eritrea,15.16831683
Estonia,52.80404898
Ethiopia,12.54336364
Fiji,54.77369757
Finland,73.0196354
France,29.9960469
French Polynesia,40.48683557
Gabon,86.43896174
"Gambia, The",47.4038807
Georgia,40.42007352
Germany,32.70659838
Ghana,40.41047728
Greece,30.27928627
Grenada,49.97058824
Guam,46.2962963
Guatemala,34.81964098
Guinea,26.63193879
Guinea-Bissau,71.90611664
Guyana,84.17299744
Honduras,46.40271695
Hungary,22.56229649
India,23.36403905
Indonesia,52.12761206
Ireland,10.5236807
Italy,30.69286734
Jamaica,31.13153698
Japan,68.45875478
Kiribati,15
"Korea, Dem. People’s Rep.",47.05136239
"Korea, Rep.",64.01023924
Lao PDR,77.19046794
Latvia,53.68685984
Lebanon,13.38220919
Liberia,44.94393688
Liechtenstein,43.125
Lithuania,34.45523218
Luxembourg,33.47490347
"Macedonia, FYR",39.26204664
Madagascar,21.67759484
Malawi,34.55085432
Malaysia,66.37290574
Marshall Islands,70.22222222
Mauritius,18.91625616
Mexico,34.22548747
"Micronesia, Fed. Sts.",91.61298701
Moldova,11.74140509
Montenegro,57.4112876
Morocco,12.51889271
Mozambique,49.58474853
Myanmar,48.14260717
Nepal,25.3644925
Netherlands,11.0186588
New Caledonia,45.89715536
New Zealand,38.58569747
Nicaragua,26.66988986
Northern Mariana Islands,65.91106719
Norway,33.1339238
Palau,87.60869565
Panama,63.21324626
Papua New Guinea,74.13489218
Paraguay,42.59295701
Peru,58.4203125
Philippines,24.25157095
Poland,30.44051495
Portugal,35.37981777
Puerto Rico,54.04847802
Romania,28.58649554
Russian Federation,49.6627822
Rwanda,17.78015256
Samoa,60.42402827
Sao Tome and Principe,56.51515152
Senegal,44.00872591
Serbia,30.30268382
Seychelles,88.41304348
Sierra Leone,39.33852238
Singapore,23.31358535
Slovak Republic,40.2841566
Slovenia,61.87595919
Solomon Islands,79.06395141
Somalia,10.75493353
Spain,36.09077889
Sri Lanka,33.45703889
St. Kitts and Nevis,42.30769231
St. Lucia,33.7704918
St. Martin (French part),18.38235294
St. Vincent and the Grenadines,68.53146853
Sudan,10.09504668
Suriname,98.40559441
Swaziland,32.74841438
Sweden,68.694515
Switzerland,31.25985221
Tanzania,54.14109485
Thailand,31.80581481
Timor-Leste,49.89912576
Tonga,12.5
Trinidad and Tobago,44.75349991
Turkey,14.54606877
Turks and Caicos Islands,36.21052632
Tuvalu,33.33333333
Uganda,13.75474605
Ukraine,16.54528848
United Kingdom,12.69713629
United States,33.65782897
Vanuatu,36.09515997
"Venezuela, RB",53.66764407
Vietnam,45.20680081
Virgin Islands (U.S.),51.89350649
Zambia,66.54380608
Zimbabwe,40.43921182
