date,Argentina,Netherlands,United Kingdom,Turkey,Australia,China,Belgium,India,France,Poland,Italy,Switzerland,Germany,Norway,United States,Mexico,Spain,Canada,Russian Federation,Indonesia,Brazil,"Korea, Rep.",Japan,Sweden
19900101,12.7,10.2,11.5,12.5,16.7,16.7,0.0,21.5,26.4,29.0,25.8,29.1,32.4,33.2,33.0,35.9,27.6,38.3,49.4,65.4,65.4,66.0,68.4,68.4
19910202,12.6,10.3,11.6,12.6,16.7,16.9,0.0,21.6,26.5,29.1,26.1,29.2,32.4,33.2,33.0,35.8,28.3,38.3,49.4,64.4,65.1,66.0,68.4,68.4
19920303,12.5,10.3,11.6,12.6,16.7,17.2,0.0,21.6,26.7,29.1,26.3,29.3,32.4,33.2,33.0,35.7,28.9,38.3,49.4,63.3,64.8,65.9,68.4,68.4
19930404,12.4,10.4,11.7,12.7,16.7,17.4,0.0,21.7,26.8,29.2,26.6,29.4,32.4,33.2,33.1,35.6,29.6,38.3,49.4,62.3,64.5,65.8,68.4,68.5
19940505,12.3,10.4,11.8,12.8,16.7,17.6,0.0,21.7,27.0,29.2,26.9,29.6,32.4,33.2,33.1,35.5,30.2,38.3,49.4,61.2,64.2,65.7,68.3,68.5
19950606,12.2,10.4,11.8,12.9,16.8,17.8,0.0,21.7,27.1,29.3,27.1,29.7,32.4,33.2,33.1,35.4,30.8,38.3,49.4,60.2,63.9,65.6,68.3,68.5
19960707,12.1,10.5,11.9,12.9,16.8,18.0,0.0,21.8,27.3,29.3,27.4,29.8,32.5,33.2,33.1,35.3,31.5,38.3,49.4,59.1,63.6,65.5,68.3,68.5
19970808,12.0,10.5,12.0,13.0,16.8,18.2,0.0,21.8,27.5,29.4,27.7,29.9,32.5,33.2,33.1,35.2,32.1,38.3,49.4,58.0,63.3,65.4,68.3,68.6
19980909,11.9,10.6,12.1,13.1,16.8,18.4,0.0,21.9,27.6,29.5,27.9,30.0,32.5,33.2,33.1,35.1,32.7,38.3,49.4,57.0,63.0,65.4,68.3,68.6
19991010,11.7,10.6,12.1,13.2,16.8,18.6,0.0,21.9,27.8,29.5,28.2,30.1,32.5,33.2,33.1,35.0,33.4,38.3,49.4,55.9,62.7,65.3,68.3,68.6
20001111,11.6,10.7,12.2,13.2,16.8,18.9,22.0,22.0,27.9,29.6,28.5,30.2,32.5,33.2,33.1,34.9,34.0,38.2,49.4,54.9,62.4,65.2,68.2,68.6
20011212,11.5,10.7,12.3,13.4,16.7,19.2,22.1,22.1,28.1,29.7,28.7,30.3,32.6,33.2,33.2,34.8,34.2,38.2,49.4,54.7,62.0,64.9,68.3,68.7
20020113,11.4,10.7,12.3,13.5,16.7,19.5,22.1,22.3,28.3,29.8,29.0,30.4,32.6,33.1,33.2,34.7,34.3,38.2,49.4,54.5,61.7,64.8,68.3,68.7
20030214,11.3,10.8,12.4,13.6,16.7,19.9,22.2,22.5,28.5,29.9,29.2,30.6,32.6,33.1,33.2,34.7,34.4,38.2,49.4,54.4,61.3,64.8,68.3,68.7
20040315,11.2,10.8,12.4,13.7,16.6,20.2,22.2,22.6,28.8,29.9,29.5,30.7,32.6,33.1,33.2,34.6,34.5,38.2,49.4,54.2,61.0,64.7,68.4,68.7
20050416,11.0,10.8,12.5,13.9,16.6,20.6,22.3,22.8,29.0,30.0,29.8,30.8,32.6,33.1,33.3,34.5,34.6,38.2,49.4,54.0,60.6,64.6,68.4,68.8
20060517,10.9,10.9,12.5,14.0,16.5,20.7,22.3,22.9,29.2,30.1,30.0,30.9,32.7,33.1,33.3,34.4,35.0,38.2,49.5,53.6,60.4,64.5,68.4,68.7
20070618,10.8,10.9,12.5,14.1,16.4,20.9,22.4,23.1,29.4,30.2,30.1,31.0,32.7,33.1,33.4,34.4,35.4,38.2,49.5,53.3,60.2,64.4,68.4,68.6
20080719,10.7,11.0,12.6,14.3,16.3,21.0,22.4,23.2,29.6,30.3,30.3,31.1,32.7,33.1,33.6,34.3,35.8,38.2,49.6,52.9,60.0,64.3,68.5,68.6
20090820,10.6,11.0,12.6,14.4,16.2,21.2,22.5,23.3,29.8,30.4,30.5,31.2,32.7,33.1,33.7,34.3,36.2,38.2,49.7,52.5,59.8,64.1,68.5,68.5
20100921,10.4,11.1,12.6,14.6,16.0,21.4,22.5,23.5,30.0,30.5,30.7,31.3,32.7,33.1,33.7,34.2,36.5,38.2,49.8,52.1,59.6,64.0,68.5,68.4
20111022,10.3,11.1,12.7,14.7,16.1,21.5,22.5,23.5,30.2,30.5,30.9,31.3,32.7,33.1,33.8,34.2,36.6,38.2,49.8,51.7,59.5,63.9,68.5,68.4
20121123,10.2,11.1,12.8,14.8,16.1,21.7,22.5,23.6,30.4,30.6,31.1,31.4,32.7,33.1,33.8,34.1,36.6,38.2,49.8,51.4,59.4,63.8,68.5,68.9
20131224,10.1,11.1,12.9,15.0,16.2,21.9,22.5,23.7,30.6,30.7,31.2,31.5,32.7,33.2,33.8,34.1,36.7,38.2,49.8,51.0,59.3,63.6,68.5,68.9
20140125,10.0,11.1,12.9,15.1,16.2,22.0,22.6,23.7,30.8,30.7,31.4,31.6,32.7,33.2,33.9,34.0,36.8,38.2,49.8,50.6,59.2,63.5,68.5,68.9
20150226,9.9,11.2,13.0,15.2,16.2,22.2,22.6,23.8,31.0,30.8,31.6,31.7,32.7,33.2,33.9,34.0,36.8,38.2,49.8,50.2,59.0,63.4,68.5,68.9
