Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Afghanistan,,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Albania,,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Algeria,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381740.054
American Samoa,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Andorra,,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Angola,,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Arab World,,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13624031,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13623991,13624011,13624011,13624011,13624011,13624011,13624011,13624011,13624011,13624011,13624011,13624011,13623831,13623821,13623831,13623891,13623911,13623921,13621411,13621403,13621408,13621411,13621411,13621413,13621413,13621413,13623621.63
Argentina,,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Armenia,,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
