CountryName,Average
Russian Federation,16305829.27
Canada,9084045
China,8868577
United States,8549545.51
Brazil,8241430
Australia,7641564.5
South Asia,3917486.964
European Union,3433973.73
India,2980489.25
Argentina,2690269.5
Sudan,2489483.5
Algeria,2285675.75
"Congo, Dem. Rep.",2278811.75
Saudi Arabia,1912311.875
Indonesia,1838682.625
Mexico,1831423.5
Libya,1606874.75
"Iran, Islamic Rep.",1545056.125
Peru,1256339.875
Angola,1248198.625
Mali,1243208.25
Ethiopia,1117893.375
Colombia,1090598.125
Mauritania,1041101.875
"Egypt, Arab Rep.",951268.875
Tanzania,886549.5625
Nigeria,880103.3125
"Venezuela, RB",868222.75
Namibia,822303.125
Mozambique,769595.125
Pakistan,751709.5
Turkey,723511.5
Chile,709418.75
Morocco,659759.4375
Myanmar,657996.3125
Somalia,634302.5625
Madagascar,587832.9375
Kenya,576333.75
Ukraine,553950.875
Thailand,474183.4375
Papua New Guinea,459445.5
Cameroon,459153.1875
France,457993.5938
Spain,432138.3438
Iraq,415377.6563
"Yemen, Rep.",411287.5938
Sweden,390507.2813
"Congo, Rep.",338427.125
Vietnam,318130.0938
Cote d'Ivoire,314812.3438
Malaysia,312833.0313
Oman,307667.5313
Norway,292187.8125
Germany,291859.2188
Finland,289666.2813
Philippines,282759.125
Poland,277840.5
Gabon,261381.75
Japan,260649.5938
New Zealand,253834.7031
Ecuador,244458.2344
Guinea,243431.1875
Greenland,242639.5938
Lao PDR,227855.5313
Ghana,224697.4844
Italy,223236.4375
Romania,219047.9375
Guyana,207343.4219
Belarus,198055.7813
Senegal,193255.5469
United Kingdom,183648.9219
Cambodia,176298.1875
Syrian Arab Republic,173463.2344
Uruguay,168731.9219
Tunisia,144635.9063
Suriname,139976.1719
Bangladesh,123889.625
Eritrea,122239.8281
"Korea, Dem. People’s Rep.",119243.4453
Nicaragua,115694.2891
Benin,113916.9609
Greece,112653.5781
Honduras,108150.5781
Bulgaria,103838.0078
Guatemala,103568.3359
Cuba,100440.7969
Liberia,95634.38281
Malawi,92909.46094
Iceland,88593.21875
Jordan,86229.24219
Portugal,78286.85156
"Korea, Rep.",77155.28906
Panama,71714.3125
Sierra Leone,71494.83594
United Arab Emirates,70575.10938
Georgia,64912.71484
Ireland,63249.21484
Sri Lanka,61106.80859
Latvia,60137.24219
Lithuania,59360.13672
Togo,55426.64063
South Africa,53460.3125
Croatia,51019.57031
Bosnia and Herzegovina,49338.41797
Costa Rica,46479.98438
Dominican Republic,42784.17969
Estonia,40498.62109
Guinea-Bissau,33629.69922
Denmark,33044.11719
Moldova,31217.15234
Switzerland,30190.08398
Solomon Islands,28264.57813
Equatorial Guinea,26800.91797
Albania,26686.71094
Haiti,26163.41602
"Macedonia, FYR",21962.62305
Netherlands,21411.86328
Djibouti,21411.55273
Belize,21296.04492
New Caledonia,18564.04102
Belgium,18091.89063
Slovenia,17680.89453
Fiji,17199.44379
Swaziland,16551.38672
El Salvador,16349.95117
Israel,15621.7832
Timor-Leste,14569.63867
Kuwait,13422.94238
"Bahamas, The",12245.5166
Vanuatu,12210.13477
"Gambia, The",10461.87305
