Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26686.71094,,,,,,,,,,26686.71094,,,,,,,,,,26686.71094,,,,,,,26686.71094
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285675.75,,,,,,,,,,2285675.75,,,,,,,,,,2285675.75,,,,,,,2285675.75
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.64226532,,,,,,,,,,87.64226532,,,,,,,,,,87.64226532,,,,,,,87.64226532
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248198.625,,,,,,,,,,1248198.625,,,,,,,,,,1248198.625,,,,,,,1248198.625
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.8600616,,,,,,,,,,167.8600616,,,,,,,,,,167.8600616,,,,,,,167.8600616
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247809.63,,,,,,,,,,13247809.63,,,,,,,,,,13247809.63,,,,,,,13247809.63
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690269.5,,,,,,,,,,2690269.5,,,,,,,,,,2690269.5,,,,,,,2690269.5
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.008321762,,,,,,,,,,9.008321762,,,,,,,,,,9.008321762,,,,,,,9.008321762
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7641564.5,,,,,,,,,,7641564.5,,,,,,,,,,7641564.5,,,,,,,7641564.5
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12245.5166,,,,,,,,,,12245.5166,,,,,,,,,,12245.5166,,,,,,,12245.5166
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1443634,,,,,,,,,,115.1443634,,,,,,,,,,115.1443634,,,,,,,115.1443634
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123889.625,,,,,,,,,,123889.625,,,,,,,,,,123889.625,,,,,,,123889.625
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.80739212,,,,,,,,,,14.80739212,,,,,,,,,,14.80739212,,,,,,,14.80739212
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198055.7813,,,,,,,,,,198055.7813,,,,,,,,,,198055.7813,,,,,,,198055.7813
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18091.89063,,,,,,,,,,18091.89063,,,,,,,,,,18091.89063,,,,,,,18091.89063
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21296.04492,,,,,,,,,,21296.04492,,,,,,,,,,21296.04492,,,,,,,21296.04492
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113916.9609,,,,,,,,,,113916.9609,,,,,,,,,,113916.9609,,,,,,,113916.9609
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78402901,,,,,,,,,,22.78402901,,,,,,,,,,22.78402901,,,,,,,22.78402901
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49338.41797,,,,,,,,,,49338.41797,,,,,,,,,,49338.41797,,,,,,,49338.41797
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8241430,,,,,,,,,,8241430,,,,,,,,,,8241430,,,,,,,8241430
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7865906,,,,,,,,,,106.7865906,,,,,,,,,,106.7865906,,,,,,,106.7865906
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743.62207,,,,,,,,,,4743.62207,,,,,,,,,,4743.62207,,,,,,,4743.62207
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103838.0078,,,,,,,,,,103838.0078,,,,,,,,,,103838.0078,,,,,,,103838.0078
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913.569092,,,,,,,,,,3913.569092,,,,,,,,,,3913.569092,,,,,,,3913.569092
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176298.1875,,,,,,,,,,176298.1875,,,,,,,,,,176298.1875,,,,,,,176298.1875
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459153.1875,,,,,,,,,,459153.1875,,,,,,,,,,459153.1875,,,,,,,459153.1875
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9084045,,,,,,,,,,9084045,,,,,,,,,,9084045,,,,,,,9084045
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393218.2085,,,,,,,,,,393218.2085,,,,,,,,,,393218.2085,,,,,,,393218.2085
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.61621094,,,,,,,,,,64.61621094,,,,,,,,,,64.61621094,,,,,,,64.61621094
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829422.9101,,,,,,,,,,829422.9101,,,,,,,,,,829422.9101,,,,,,,829422.9101
