CountryName,UrbanAverage,RuralAverage
Russian Federation,187538.1445,16305829.27
Canada,126511.1641,9084045
China,380679.3,8868577
United States,802053.5923,8549545.51
Brazil,134981.375,8241430
Australia,36745.70313,7641564.5
European Union,547911.4707,3433973.73
India,222688.2344,2980489.25
Argentina,55032.20313,2690269.5
Sudan,6517.513672,2489483.5
Algeria,30195.79688,2285675.75
Congo  Dem. Rep.,9061.722656,2278811.75
Saudi Arabia,41223.73828,1912311.875
Indonesia,42076.82813,1838682.625
Mexico,102418.1094,1831423.5
Libya,10082.89258,1606874.75
Iran,69242.76563,1545056.125
Peru,16425.76758,1256339.875
Angola,1427.029541,1248198.625
Mali,2910.42749,1243208.25
Ethiopia,5166.71582,1117893.375
Colombia,36132.13672,1090598.125
Egypt,24270.23242,951268.875
Tanzania,3405.80542,886549.5625
Nigeria,17196.23438,880103.3125
Venezuela,34403.92578,868222.75
Central Europe and the Baltics,71091.07813,829422.9101
Namibia,2467.779053,822303.125
Mozambique,2739.14502,769595.125
Pakistan,35871.94141,751709.5
Turkey,44090.15625,723511.5
Chile,12027.5166,709418.75
Morocco,12057.44141,659759.4375
Myanmar,6960.023438,657996.3125
Madagascar,2272.414795,587832.9375
Kenya,4187.614746,576333.75
Ukraine,32160.1582,553950.875
Thailand,36597.01563,474183.4375
Papua New Guinea,2003.610596,459445.5
Cameroon,3680.405762,459153.1875
France,86463.0625,457993.5938
Spain,69794.58594,432138.3438
Iraq,12429.91504,415377.6563
Yemen,4703.399902,411287.5938
Caribbean small states,9341.820633,393218.2085
Sweden,31152.32031,390507.2813
Congo Rep,1087.161865,338427.125
Vietnam,7589.041504,318130.0938
Cote d'Ivoire,3466.161621,314812.3438
Malaysia,15564.95215,312833.0313
Oman,5651.354004,307667.5313
Norway,20282.20508,292187.8125
Germany,62374.19922,291859.2188
Finland,20052.17383,289666.2813
Philippines,10817.37305,282759.125
Poland,30501.3418,277840.5
Japan,108678.2422,260649.5938
New Zealand,8116.299805,253834.7031
Ecuador,10905.65137,244458.2344
Guinea,1473.595703,243431.1875
Lao PDR,1018.75415,227855.5313
Ghana,6239.439453,224697.4844
Italy,73540.88281,223236.4375
Romania,15594.78906,219047.9375
Belarus,7783.031738,198055.7813
Senegal,1796.192627,193255.5469
United Kingdom,58698.75,183648.9219
Cambodia,1152.062866,176298.1875
Syrian Arab Republic,11955.19727,173463.2344
Uruguay,4689.679688,168731.9219
Tunisia,9897.881836,144635.9063
Bangladesh,11125.3916,123889.625
Korea Dem Rep,2343.61377,119243.4453
Nicaragua,2882.378662,115694.2891
Benin,1447.184937,113916.9609
Greece,18519.16406,112653.5781
Honduras,3702.359375,108150.5781
Bulgaria,6678.94043,103838.0078
Guatemala,4132.351074,103568.3359
Cuba,9572.447266,100440.7969
Malawi,1815.103394,92909.46094
Iceland,1023.837036,88593.21875
Jordan,3383.973877,86229.24219
Portugal,12764.67676,78286.85156
Korea Rep,21922.01563,77155.28906
Panama,2892.144043,71714.3125
United Arab Emirates,8568.158203,70575.10938
Georgia,3602.762939,64912.71484
Ireland,5638.355957,63249.21484
Sri Lanka,4016.146484,61106.80859
Latvia,3278.516846,60137.24219
Lithuania,4610.856445,59360.13672
Togo,1663.073608,55426.64063
South Africa,53460.3125,53460.3125
Croatia,5302.795898,51019.57031
Bosnia and Herzegovina,1723.146729,49338.41797
Costa Rica,4051.562988,46479.98438
Dominican Republic,5089.375977,42784.17969
Estonia,2614.681396,40498.62109
Denmark,9295.174805,33044.11719
Moldova,2607.522217,31217.15234
Switzerland,7898.148926,30190.08398
Albania,1689.403809,26686.71094
Macedonia,2667.351074,21962.62305
Netherlands,12802.99316,21411.86328
Belgium,12349.22852,18091.89063
Slovenia,2509.15625,17680.89453
Fiji,1746.58667,17199.44379
El Salvador,3598.269287,16349.95117
Israel,6399.019531,15621.7832
Kuwait,3942.298828,13422.94238
Qatar,1495.149292,9779.24707
Lebanon,2317.423828,8081.997559
Jamaica,3000.631592,8015.424316
Cyprus,2280.400391,6949.833984
Brunei Darussalam,1017.068604,4743.62207
West Bank and Gaza,2496.458252,3505.060059
Trinidad and Tobago,2286.748047,2879.285645
