Country Name,Average
Afghanistan,0
Albania,1689.403809
Algeria,30195.79688
American Samoa,116.1668701
Andorra,0
Angola,1427.029541
Antigua and Barbuda,266.2775574
Arab World,193254.6571
Argentina,55032.20313
Armenia,0
Aruba,172.8477478
Australia,36745.70313
Austria,0
Azerbaijan,0
"Bahamas, The",425.8963623
Bahrain,549.2779541
Bangladesh,11125.3916
Barbados,420.3754272
Belarus,7783.031738
Belgium,12349.22852
Belize,508.0564575
Benin,1447.184937
Bermuda,38.61519241
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,1723.146729
Botswana,0
Brazil,134981.375
British Virgin Islands,51.4707756
Brunei Darussalam,1017.068604
Bulgaria,6678.94043
Burkina Faso,0
Burundi,0
Cabo Verde,180.3818817
Cambodia,1152.062866
Cameroon,3680.405762
Canada,126511.1641
Caribbean small states,9341.820633
Cayman Islands,160.9671021
Central African Republic,0
Central Europe and the Baltics,71091.07813
Chad,0
Channel Islands,0
Chile,12027.5166
China,380679.3
Colombia,36132.13672
Comoros,196.407196
"Congo, Dem. Rep.",9061.722656
"Congo, Rep.",1087.161865
Costa Rica,4051.562988
Cote d'Ivoire,3466.161621
Croatia,5302.795898
Cuba,9572.447266
Curacao,0
Cyprus,2280.400391
Czech Republic,0
Denmark,9295.174805
Djibouti,149.8288422
Dominica,251.302948
Dominican Republic,5089.375977
Early-demographic dividend,895934.1262
East Asia & Pacific,701588.055
East Asia & Pacific (excluding high income),509762.1198
East Asia & Pacific (IDA & IBRD countries),507314.3261
Ecuador,10905.65137
"Egypt, Arab Rep.",24270.23242
El Salvador,3598.269287
Equatorial Guinea,97.47089386
Eritrea,366.6149292
Estonia,2614.681396
Ethiopia,5166.71582
Euro area,390687.3584
Europe & Central Asia,861358.8628
Europe & Central Asia (excluding high income),306135.4069
Europe & Central Asia (IDA & IBRD countries),341939.5446
European Union,547911.4707
Faroe Islands,335.4758301
Fiji,1746.58667
Finland,20052.17383
Fragile and conflict affected situations,82932.29476
France,86463.0625
French Polynesia,238.1499786
Gabon,836.4829102
"Gambia, The",446.1829224
Georgia,3602.762939
Germany,62374.19922
Ghana,6239.439453
Gibraltar,4.473595619
Greece,18519.16406
Greenland,33.34839249
Grenada,169.5156097
Guam,515.956604
Guatemala,4132.351074
Guinea,1473.595703
Guinea-Bissau,306.3417664
Guyana,626.756958
Haiti,764.3450928
Heavily indebted poor countries (HIPC),66416.76366
High income,1773460.961
Honduras,3702.359375
"Hong Kong SAR, China",901.5428467
Hungary,0
IBRD only,1717678.388
Iceland,1023.837036
IDA & IBRD total,1896762.062
IDA blend,75475.57527
IDA only,103608.0987
IDA total,179083.674
India,222688.2344
Indonesia,42076.82813
"Iran, Islamic Rep.",69242.76563
Iraq,12429.91504
Ireland,5638.355957
Isle of Man,241.8645325
Israel,6399.019531
Italy,73540.88281
Jamaica,3000.631592
Japan,108678.2422
Jordan,3383.973877
Kazakhstan,0
Kenya,4187.614746
Kiribati,3.643230915
"Korea, Dem. People’s Rep.",2343.61377
"Korea, Rep.",21922.01563
Kosovo,0
Kuwait,3942.298828
Kyrgyz Republic,0
Lao PDR,1018.75415
Late-demographic dividend,962553.0635
Latin America & Caribbean,462259.612
Latin America & Caribbean (excluding high income),432696.2613
Latin America & the Caribbean (IDA & IBRD countries),442624.7006
Latvia,3278.516846
Least developed countries: UN classification,71899.03828
Lebanon,2317.423828
Lesotho,0
Liberia,434.2752991
Libya,10082.89258
Liechtenstein,0
Lithuania,4610.856445
Low & middle income,1855851.226
Low income,39718.36179
Lower middle income,505195.9581
Luxembourg,801.083374
"Macao SAR, China",17.72437096
"Macedonia, FYR",2667.351074
Madagascar,2272.414795
Malawi,1815.103394
Malaysia,15564.95215
Maldives,0
Mali,2910.42749
Malta,293.3409119
Marshall Islands,0
Mauritania,771.6014404
Mauritius,1276.015869
Mexico,102418.1094
"Micronesia, Fed. Sts.",243.1120605
Middle East & North Africa,261305.5448
Middle East & North Africa (excluding high income),193183.2078
Middle East & North Africa (IDA & IBRD countries),190686.7495
Middle income,1816132.864
Moldova,2607.522217
Monaco,1.920578122
Mongolia,0
Montenegro,0
Morocco,12057.44141
Mozambique,2739.14502
Myanmar,6960.023438
Namibia,2467.779053
Nauru,11.98700333
Nepal,0
Netherlands,12802.99316
New Caledonia,208.4334564
New Zealand,8116.299805
Nicaragua,2882.378662
Niger,0
Nigeria,17196.23438
North America,928603.3716
Northern Mariana Islands,108.512558
Norway,20282.20508
Not classified,0
OECD members,1811316.358
Oman,5651.354004
Other small states,16640.86604
Pacific island small states,2495.945557
Pakistan,35871.94141
Palau,30.74201965
Panama,2892.144043
Papua New Guinea,2003.610596
Paraguay,0
Peru,16425.76758
Philippines,10817.37305
Poland,30501.3418
Portugal,12764.67676
Post-demographic dividend,1673621.02
Pre-demographic dividend,82664.21513
Puerto Rico,8511.401367
Qatar,1495.149292
Romania,15594.78906
Russian Federation,187538.1445
Rwanda,0
Samoa,108.1327591
San Marino,57.78162003
Sao Tome and Principe,68.23683167
Saudi Arabia,41223.73828
Senegal,1796.192627
Serbia,0
Seychelles,122.5104828
Sierra Leone,710.4832764
Singapore,565.5597534
Sint Maarten (Dutch part),0
Slovak Republic,0
Slovenia,2509.15625
Small states,28478.63223
Solomon Islands,72.10932922
Somalia,398.7160645
South Africa,53460.3125
South Asia,273701.7139
South Asia (IDA & IBRD),273701.7139
South Sudan,0
Spain,69794.58594
Sri Lanka,4016.146484
St. Kitts and Nevis,230.6646423
St. Lucia,351.2103882
St. Martin (French part),0
St. Vincent and the Grenadines,111.6811523
Sub-Saharan Africa,140495.0269
Sub-Saharan Africa (excluding high income),140372.5165
Sub-Saharan Africa (IDA & IBRD countries),140495.0269
Sudan,6517.513672
Suriname,692.7034912
Swaziland,802.2711182
Sweden,31152.32031
Switzerland,7898.148926
Syrian Arab Republic,11955.19727
Tajikistan,0
Tanzania,3405.80542
Thailand,36597.01563
Timor-Leste,359.4190674
Togo,1663.073608
Tonga,181.8270264
Trinidad and Tobago,2286.748047
Tunisia,9897.881836
Turkey,44090.15625
Turkmenistan,0
Turks and Caicos Islands,17.49214363
Tuvalu,0
Uganda,0
Ukraine,32160.1582
United Arab Emirates,8568.158203
United Kingdom,58698.75
United States,802053.5923
Upper middle income,1310936.906
Uruguay,4689.679688
Uzbekistan,0
Vanuatu,97.80545807
"Venezuela, RB",34403.92578
Vietnam,7589.041504
Virgin Islands (U.S.),302.0132141
West Bank and Gaza,2496.458252
World,3629312.187
"Yemen, Rep.",4703.399902
Zambia,0
Zimbabwe,0
