Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689.403809,,,,,,,,,,1689.403809,,,,,,,,,,1689.403809,,,,,,,1689.403809
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30195.79688,,,,,,,,,,30195.79688,,,,,,,,,,30195.79688,,,,,,,30195.79688
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1668701,,,,,,,,,,116.1668701,,,,,,,,,,116.1668701,,,,,,,116.1668701
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.029541,,,,,,,,,,1427.029541,,,,,,,,,,1427.029541,,,,,,,1427.029541
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.2775574,,,,,,,,,,266.2775574,,,,,,,,,,266.2775574,,,,,,,266.2775574
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193254.6571,,,,,,,,,,193254.6571,,,,,,,,,,193254.6571,,,,,,,193254.6571
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55032.20313,,,,,,,,,,55032.20313,,,,,,,,,,55032.20313,,,,,,,55032.20313
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8477478,,,,,,,,,,172.8477478,,,,,,,,,,172.8477478,,,,,,,172.8477478
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36745.70313,,,,,,,,,,36745.70313,,,,,,,,,,36745.70313,,,,,,,36745.70313
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.8963623,,,,,,,,,,425.8963623,,,,,,,,,,425.8963623,,,,,,,425.8963623
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.2779541,,,,,,,,,,549.2779541,,,,,,,,,,549.2779541,,,,,,,549.2779541
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11125.3916,,,,,,,,,,11125.3916,,,,,,,,,,11125.3916,,,,,,,11125.3916
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.3754272,,,,,,,,,,420.3754272,,,,,,,,,,420.3754272,,,,,,,420.3754272
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7783.031738,,,,,,,,,,7783.031738,,,,,,,,,,7783.031738,,,,,,,7783.031738
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12349.22852,,,,,,,,,,12349.22852,,,,,,,,,,12349.22852,,,,,,,12349.22852
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0564575,,,,,,,,,,508.0564575,,,,,,,,,,508.0564575,,,,,,,508.0564575
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447.184937,,,,,,,,,,1447.184937,,,,,,,,,,1447.184937,,,,,,,1447.184937
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.61519241,,,,,,,,,,38.61519241,,,,,,,,,,38.61519241,,,,,,,38.61519241
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.146729,,,,,,,,,,1723.146729,,,,,,,,,,1723.146729,,,,,,,1723.146729
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
